,0
34,dwe
35,dwe
43,dwe
47,dwe
65,idara ya maji
71,dwe
72,dwe
75,dwe
109,dwe
124,dwe
126,idara ya maji
132,dwe
149,dwe
151,dwe
159,district council
181,dwe
184,dwe
189,dwe
190,idara ya maji
201,tcrs
205,dwe
213,dwe
220,rundu man
232,idara ya maji
245,dwe
270,wananchi
307,kkkt _ konde and dwe
309,dwe
319,dwe
332,dwe
352,dwe
363,world vision
423,dwe
426,dwe
434,dwe
449,dwe
479,idara ya maji
512,dwe
516,rundu man
535,dwe
542,dwe
551,tcrs
556,dwe
560,dwe
568,kkkt _ konde and dwe
581,idara ya maji
597,tcrs
610,dwe
615,rundu man
627,dwe
689,idara ya maji
694,dwe
741,dwe
769,dwe
770,dwe
775,dwe
777,tcrs
829,idara ya maji
832,dwe
848,dwe
890,tcrs
899,dwe
921,dwe
922,tcrs
928,dwe
935,dwe
953,dwe
972,dwe
995,kkkt _ konde and dwe
1009,tcrs
1010,kkkt _ konde and dwe
1020,government
1039,dwe
1049,government
1053,dwe
1118,dwe
1120,dwe
1121,dwe
1128,dwe
1135,tcrs
1148,tcrs
1187,dwe
1212,dwe
1243,dwe
1247,dwe
1250,government
1302,government
1335,kkkt _ konde and dwe
1338,idara ya maji
1380,tcrs
1387,dwe
1392,dwe
1413,dwe
1419,tcrs
1426,dwe
1433,dwe
1439,tcrs
1455,rundu man
1467,kkkt _ konde and dwe
1472,dwe
1477,rundu man
1487,dwe
1524,tcrs
1530,dwe
1572,dwe
1587,dwe
1588,dwe
1628,dwe
1649,dwe
1653,dwe
1660,idara ya maji
1686,dwe
1697,dwe
1717,central government
1725,dwe
1734,dwe
1735,dwe
1753,dwe
1781,central government
1801,dwe
1817,wananchi
1822,dwe
1826,dwe
1831,wananchi
1845,dwe
1852,dwe
1854,dwe
1864,dwe
1867,dwe
1875,rundu man
1880,rundu man
1884,dwe
1886,tcrs
1901,0
1928,government
1938,dwe
1947,tcrs
1950,dwe
1953,dwe
1954,dwe
1976,idara ya maji
1987,dwe
2016,idara ya maji
2029,dwe
2041,dwe
2060,dwe
2083,rundu man
2114,dwe
2123,dwe
2126,kkkt _ konde and dwe
2127,dwe
2141,idara ya maji
2176,rundu man
2206,dwe
2210,rundu man
2212,kkkt
2228,kkkt _ konde and dwe
2249,dwe
2250,idara ya maji
2253,dwe
2289,dwe
2299,dwe
2323,kkkt
2325,kkkt
2327,dwe
2361,idara ya maji
2362,dwe
2380,dwe
2426,tcrs
2440,dwe
2443,dwe
2454,dwe
2506,government
2513,rundu man
2537,dwe
2544,dwe
2576,idara ya maji
2584,dwe
2604,dwe
2686,fini water
2730,sengerema water department
2752,rundu man
2770,dwe
2795,dwe
2815,dwe
2817,dwe
2853,tcrs
2880,kkkt _ konde and dwe
2912,tcrs
2937,tcrs
2972,jika
3008,dwe
3036,idara ya maji
3042,dwe
3073,idara ya maji
3075,dwe
3080,dwe
3082,dwe
3173,dwe
3185,dwe
3321,tcrs
3337,tcrs
3338,dwe
3353,dwe
3367,dwe
3371,dwe
3376,dwe
3401,kkkt _ konde and dwe
3404,dwe
3414,dwe
3434,dwe
3440,idara ya maji
3461,government
3462,idara ya maji
3476,tcrs
3495,dwe
3498,dwe
3526,qwickwin
3539,rwe
3578,dwe
3580,dwe
3620,government
3623,idara ya maji
3632,dwe
3639,tcrs
3645,dwe
3688,dwe
3691,dwe
3708,tcrs
3739,dwe
3748,dwe
3763,dwe
3776,tcrs
3784,tcrs
3791,dwe
3794,idara ya maji
3809,muwasa
3810,dwe
3831,dwe
3867,dwe
3924,rundu man
3940,kkkt _ konde and dwe
3941,dwe
3945,dwe
3972,idara ya maji
4009,tcrs
4017,dwe
4025,dwe
4044,dwe
4050,dwe
4053,government
4060,dwe
4077,kkkt _ konde and dwe
4097,rundu man
4102,kkkt _ konde and dwe
4106,dwe
4161,wananchi
4189,kkkt _ konde and dwe
4199,dwe
4208,dwe
4226,kkkt _ konde and dwe
4257,dwe
4263,hesawa
4269,wananchi
4273,dwe
4276,rundu man
4300,dwe
4306,kkkt _ konde and dwe
4315,dwe
4322,dwe
4329,wananchi
4336,tcrs
4356,kkkt _ konde and dwe
4359,atlas company
4374,kuwait
4390,dwe
4434,dwe
4456,dwe
4461,dwe
4478,kkkt _ konde and dwe
4526,tcrs
4540,wananchi
4552,idara ya maji
4553,kkkt _ konde and dwe
4554,dwe
4556,dwe
4559,rundu man
4573,government
4608,dwe
4622,rundu man
4640,dwe
4644,dwe
4651,kkkt _ konde and dwe
4652,dwe
4681,rundu man
4712,dwe
4736,idara ya maji
4770,idara ya maji
4782,dwe
4798,dwe
4800,dwe
4804,tcrs
4819,dwe
4823,dwe
4829,dwe
4850,government
4868,dwe
4874,dwe
4915,dwe
4921,tcrs
4937,dwe
4940,dw
4947,central government
4954,dwe
5003,dwe
5099,dwe
5120,tcrs
5127,dwe
5134,dwe
5147,dwe
5156,kkkt _ konde and dwe
5166,dwe
5176,dwe
5181,dwe
5190,tcrs
5201,dwe
5202,lga
5207,dwe
5210,tcrs
5211,dwe
5218,tcrs
5220,government
5228,wananchi
5266,dwe
5270,dwe
5279,idara ya maji
5287,dwe
5298,tcrs
5307,dwe
5316,tcrs
5323,dwe
5327,idara ya maji
5375,dwe
5387,idara ya maji
5393,dwe
5395,0
5418,wananchi
5422,dwe
5431,dwe
5435,dwe
5447,0
5471,dwe
5487,dwe
5510,government
5516,dwe
5524,kkkt _ konde and dwe
5532,hesawa
5599,dwe
5650,dwe
5681,dwe
5714,sengerema water department
5725,dwe
5755,dwe
5763,dwe
5765,kkkt _ konde and dwe
5794,dwe
5808,dwe
5810,rundu man
5817,government
5819,dwe
5856,dwe
5899,dwe
5919,dwe
5923,dwe
5970,kkkt _ konde and dwe
5981,idara ya maji
5999,tcrs
6004,dwe
6005,idara ya maji
6027,dwe
6033,dwe
6037,dwe
6045,dwe
6062,tcrs
6078,dwe
6092,rundu man
6147,rundu man
6149,rdc
6160,dwe
6179,kkkt _ konde and dwe
6194,dwe
6227,dwe
6230,dwe
6237,dwe
6246,dwe
6253,idara ya maji
6267,rundu man
6270,dwe
6288,tcrs
6301,idara ya maji
6323,dwe
6336,dwe
6361,dwe
6363,dwe
6368,dwe
6406,central government
6416,dwe
6443,dwe
6465,idara ya maji
6478,idara ya maji
6480,dwe
6483,idara ya maji
6486,dwe
6517,dwe
6521,dwe
6538,dwe
6594,tcrs
6608,dwe
6621,dwe
6625,dwe
6645,dwe
6670,central government
6673,dwe
6674,dwe
6682,dwe
6686,dwe
6712,dwe
6724,dwe
6749,dwe
6752,rundu man
6758,kkkt _ konde and dwe
6759,dwe
6771,government
6805,idara ya maji
6816,rundu man
6820,idara ya maji
6822,dwe
6835,tasaf
6867,dwe
6888,dwe
6941,dwe
6944,rundu man
6947,dwe
6951,dwe
6988,dwe
7015,rundu man
7026,dwe
7059,rundu man
7068,tcrs
7083,dwe
7093,idara ya maji
7130,rundu man
7140,dwe
7164,dwe
7244,dwe
7264,idara ya maji
7278,kkkt _ konde and dwe
7295,rundu man
7319,dwe
7353,dwe
7367,tcrs
7368,dwe
7379,kkkt _ konde and dwe
7392,dwe
7393,idara ya maji
7396,dwe
7408,idara ya maji
7411,rundu man
7422,dwe
7425,dwe
7429,dwe
7446,idara ya maji
7462,runduman
7499,dwe
7508,dwe
7543,dwe
7555,dwe
7586,dwe
7615,dwe
7625,rundu man
7631,dwe
7664,kkkt _ konde and dwe
7668,idara ya maji
7670,dwe
7697,dwe
7733,dwe
7741,tcrs
7750,dwe
7773,dwe
7784,tcrs
7793,tcrs
7799,idara ya maji
7801,kkkt _ konde and dwe
7803,dwe
7818,government
7823,dwe
7829,dwe
7850,dwe
7860,dwe
7863,kkkt
7903,dwe
7919,rundu man
7943,dwe
8005,dwe
8019,dwe
8021,dwe
8029,dwe
8046,idara ya maji
8071,0
8083,dwe
8087,tcrs
8088,dwe
8090,dwe
8123,dwe
8134,rundu man
8148,dwe
8159,dwe
8171,idara ya maji
8210,dwe
8248,tcrs
8272,dwe
8290,dwe
8302,idara ya maji
8303,tcrs
8305,dwe
8329,runduman
8346,wananchi
8359,tcrs
8396,dwe
8442,dwe
8454,dwe
8457,rundu man
8465,dwe
8495,kkkt _ konde and dwe
8515,dwe
8516,dwe
8528,dwe
8559,kkkt
8581,idara ya maji
8583,rundu man
8600,kkkt _ konde and dwe
8604,dwe
8624,dwe
8635,dwe
8647,dwe
8673,dwe
8674,dwe
8686,dwe
8692,dwe
8711,government
8723,dwe
8753,dwe
8772,idara ya maji
8833,tcrs
8848,government
8862,dwe
8879,dwe
8902,dwe
8906,dwe
8929,dwe
8937,dwe
8951,kkkt _ konde and dwe
8969,tcrs
9006,ustawi
9026,kkkt _ konde and dwe
9051,dwe
9054,runduman
9056,dwe
9092,dwe
9106,tcrs
9111,dwe
9155,dwe
9159,dwe
9183,dwe
9188,tcrs
9230,dwe
9244,idara ya maji
9271,dwe
9289,kkkt _ konde and dwe
9290,dwe
9303,dwe
9310,idara ya maji
9350,dwe
9359,dwe
9377,dwe
9428,tcrs
9446,kkkt
9450,dwe
9452,dwe
9465,government
9479,dwe
9496,dwe
9524,dwe
9541,dwe
9563,dwe
9564,dwe
9568,dwe
9572,tcrs
9691,dwe
9692,dwe
9705,kkkt
9709,kkkt _ konde and dwe
9728,kkkt _ konde and dwe
9773,rundu man
9827,kkkt _ konde and dwe
9834,dwe
9864,dwe
9885,tcrs
9895,dwe
9896,dwe
9898,tcrs
9909,dwe
9913,dwe
9973,af
9997,dwe
10013,dwe
10024,dwe
10029,dwe
10032,idara ya maji
10033,dwe
10034,dwe
10043,tcrs
10049,dwe
10055,idara ya maji
10059,dwe
10088,mission
10114,dwe
10120,dwe
10140,tcrs
10141,idara ya maji
10142,kkkt _ konde and dwe
10145,dwe
10146,tcrs
10155,dwe
10159,0
10174,dwe
10191,dwe
10208,kkkt
10209,oxfam
10214,dwe
10235,dwe
10243,dwe
10248,dwe
10249,dwe
10255,dwe
10296,tcrs
10320,idara ya maji
10336,idara ya maji
10358,kkkt _ konde and dwe
10360,dwe
10368,tcrs
10393,government
10398,tcrs
10456,dwe
10484,idara ya maji
10510,rundu man
10528,rundu man
10540,dwe
10543,tcrs
10554,dwe
10571,dwe
10586,kkkt _ konde and dwe
10589,kkkt _ konde and dwe
10606,dwe
10628,dwe
10640,hesawa
10651,dwe
10718,0
10725,tcrs
10728,0
10740,kkkt
10744,tcrs
10750,dwe
10778,dwe
10782,kkkt
10801,dwe
10812,dwe
10821,idara ya maji
10833,dwe
10842,dwe
10847,rundu man
10893,dwe
10902,dwe
10930,dwe
10932,central government
10956,dwe
10962,dwe
10963,rundu man
10990,dwe
11043,dwe
11057,dwe
11060,tcrs
11095,government
11103,rundu man
11135,dwe
11154,dwe
11194,tcrs
11206,idara ya maji
11210,dwe
11226,dwe
11236,dwe
11253,tasaf
11275,dwe
11276,dwe
11307,central government
11308,dwe
11340,idara ya maji
11345,dwe
11374,dwe
11410,dwe
11421,tumaini fund
11426,dwe
11434,dwe
11506,rundu man
11516,dwe
11520,dwe
11524,dwe
11528,rundu man
11536,idara ya maji
11539,dwe
11566,dwe
11569,dwe
11595,dwe
11597,kkkt _ konde and dwe
11599,dwe
11624,dwe
11657,dwe
11677,idara ya maji
11679,dwe
11684,rundu man
11685,0
11717,dwe
11718,dwe
11719,dwe
11734,dwe
11753,dwe
11784,dwe
11810,dwe
11822,tcrs
11828,dwe
11844,kkkt _ konde and dwe
11849,government
11856,dwe
11861,idara ya maji
11865,idara ya maji
11868,dwe
11879,dwe
11896,dwe
11935,dwe
11941,dwe
11968,community
11969,dwe
11994,dwe
12004,idara ya maji
12011,dwe
12017,dwe
12027,dwe
12060,kkkt _ konde and dwe
12063,tcrs
12114,dwe
12130,dwe
12207,dwe
12222,idara ya maji
12227,dwe
12233,dwe
12238,dwe
12320,kkkt _ konde and dwe
12321,dwe
12333,dwe
12338,dwe
12352,tcrs
12362,tcrs
12379,rundu man
12381,dwe
12405,dwe
12426,dwe
12432,dwe
12447,dwe
12474,dwe
12480,tcrs
12484,0
12487,idara ya maji
12491,dwe
12494,dwe
12501,dwe
12512,dwe
12532,dwe
12534,dwe
12535,singida yetu
12549,dwe
12550,tcrs
12553,rundu man
12554,dwe
12564,kkkt _ konde and dwe
12570,dwe
12572,dwe
12583,idara ya maji
12593,kkkt _ konde and dwe
12596,rundu man
12599,dwe
12662,idara ya maji
12706,rundu man
12746,rundu man
12776,tcrs
12803,dwe
12806,kkkt _ konde and dwe
12807,dwe
12832,dwe
12834,dwe
12852,dwe
12875,tcrs
12899,swiss if
12904,dwe
12912,government
12921,runduman
12922,dwe
12930,tcrs
12933,dwe
12946,tcrs
12952,idara ya maji
12958,tcrs
12978,dwe
12994,dwe
13004,kkkt _ konde and dwe
13013,tcrs
13054,kkkt _ konde and dwe
13103,tcrs
13105,dwe
13117,dwe
13124,idara ya maji
13136,idara ya maji
13143,dwe
13169,dwe
13192,dwe
13193,dwe
13206,tcrs
13228,dwe
13275,tcrs
13285,idara ya maji
13324,dwe
13330,dwe
13344,dwe
13347,0
13403,dwe
13441,kkkt _ konde and dwe
13490,dwe
13493,tcrs
13508,tcrs
13510,dwe
13514,dwe
13521,rundu man
13525,dwe
13562,dwe
13571,dwe
13592,dwe
13595,rundu man
13627,kkkt
13642,dwe
13646,rundu man
13655,dwe
13672,dwe
13674,wananchi
13687,rundu man
13699,idara ya maji
13725,dwe
13735,dwe
13747,0
13750,dwe
13754,dwe
13764,government
13804,idara ya maji
13840,dwe
13842,idara ya maji
13872,dwe
13879,tcrs
13891,dwe
13908,dwe
13909,idara ya maji
13911,dwe
13914,dwe
13951,dwe
13962,government
13963,dwe
14006,dwe
14011,dwe
14018,government
14026,dwe
14027,dwe
14031,dwe
14035,dwe
14054,government
14082,dwe
14099,idara ya maji
14157,amref
14162,dwe
14183,dwe
14190,dwe
14200,dwe
14209,rundu man
14214,kkkt
14215,gover
14250,kkkt _ konde and dwe
14278,dwe
14282,dwe
14318,dwe
14329,dwe
14348,dwe
14359,kkkt
14367,kkkt _ konde and dwe
14389,tcrs
14435,dwe
14441,dwe
14452,dwe
14456,government
14465,dwe
14480,kkkt
14503,dwe
14539,tcrs
14570,dwe
14574,dwe
14575,dwe
14609,dwe
14623,dwe
14625,tcrs
14677,tcrs
14682,dwe
14686,kkkt
14704,dwe
14717,dwe
14720,sengerema water department
14728,dwe
14746,dwe
14749,dwe
14805,dwe
14807,gover
14815,dwe
14827,tcrs
14861,tcrs
14883,kkkt _ konde and dwe
14901,dwe
14924,dwe
14963,dwe
14964,dwe
14986,wananchi
14999,dwe
15079,gover
15101,dwe
15121,idara ya maji
15129,kkkt _ konde and dwe
15147,dwe
15154,idara ya maji
15156,dwe
15181,idara ya maji
15194,kkkt _ konde and dwe
15215,idara ya maji
15224,dwe
15242,wizara ya maji
15256,dwe
15262,dwe
15289,dwe
15298,dwe
15323,kkkt _ konde and dwe
15397,dwe
15416,dwe
15433,rundu man
15442,0
15444,kkkt _ konde and dwe
15466,wedeco
15471,dwe
15503,government
15524,dwe
15542,idara ya maji
15545,runduman
15563,dwe
15572,dwe
15587,dwe
15628,tcrs
15655,tcrs
15674,kkkt _ konde and dwe
15686,dwe
15708,wananchi
15731,kkkt _ konde and dwe
15734,dwe
15763,rundu man
15790,wananchi
15812,dwe
15818,rundu man
15822,dwe
15824,dwe
15882,idara ya maji
15896,dwe
15901,rundu man
15904,dwe
15910,rundu man
15928,jaica
15949,dwe
15960,dwe
15985,dwe
15998,dwe
16012,dwe
16023,tcrs
16096,rundu man
16126,dwe
16128,dwe
16139,dwe
16140,dwe
16151,tcrs
16201,dwe
16224,district council
16231,idara ya maji
16238,idara ya maji
16297,dwe
16323,dwe
16335,tcrs
16366,idara ya maji
16438,dwe
16456,wananchi
16480,dwe
16495,dwe
16498,dwe
16504,kkkt _ konde and dwe
16506,dwe
16515,dwe
16561,dwe
16562,idara ya maji
16607,dwe
16611,dwe
16619,dwe
16620,dwe
16627,tcrs
16648,dwe
16687,dwe
16688,kkkt
16697,world vision
16727,dwe
16753,dwe
16766,dwe
16773,rundu man
16789,dwe
16801,tcrs
16813,idara ya maji
16844,dwe
16875,dwe
16882,dwe
16885,dwe
16892,dwe
16898,tcrs
16904,runduman
16927,dwe
16943,dwe
16971,kkkt _ konde and dwe
17007,dwe
17020,dwe
17043,dwe
17047,tcrs
17049,dwe
17077,dwe
17078,dwe
17079,dwe
17085,dwe
17123,dwe
17159,dwe
17168,dwe
17177,dwe
17194,dwe
17205,dwe
17239,dwe
17252,kkkt _ konde and dwe
17255,tcrs
17262,dwe
17268,dwe
17299,rundu man
17305,wananchi
17307,dwe
17315,artisan
17338,central government
17343,wananchi
17344,dwe
17380,idara ya maji
17403,kkkt
17420,dwe
17422,rundu man
17433,dwe
17461,norad
17462,dwe
17520,government
17533,dwe
17553,dwe
17566,dwe
17584,kkkt _ konde and dwe
17597,idara ya maji
17631,dwe
17638,dwe
17650,world vision
17652,idara ya maji
17656,dwe
17657,government
17671,dwe
17673,kkkt _ konde and dwe
17690,0
17697,idara ya maji
17699,dwe
17700,dwe
17712,kkkt
17713,dwe
17714,dwe
17716,tcrs
17717,dwe
17720,dwe
17729,dwe
17769,dwe
17770,dwe
17787,dwe
17801,dwe
17803,dwe
17824,dwe
17826,tcrs
17830,dwe
17854,artisan
17856,dwe
17893,dwe
17901,dwe
17904,rundu man
17926,tcrs
17935,dwe
17954,dwe
17982,kkkt _ konde and dwe
18014,dwe
18019,wananchi
18023,tcrs
18028,kkkt _ konde and dwe
18041,dwe
18057,dwe
18069,dwe
18088,idara ya maji
18162,dwe
18166,dwe
18168,dwe
18201,dwe
18228,dwe
18231,0
18345,dwe
18377,dwe
18390,fini water
18441,dwe
18465,0
18472,sengerema water department
18475,dwe
18494,dwe
18541,dwe
18543,government
18548,dwe
18577,kkkt _ konde and dwe
18579,inves
18667,idara ya maji
18668,dwe
18673,idara ya maji
18694,dwe
18697,dwe
18703,kkkt _ konde and dwe
18705,dwe
18716,idara ya maji
18721,hesawa
18728,tcrs
18745,dwe
18780,dwe
18794,tcrs
18803,dwe
18829,dwe
18847,dwe
18869,dwe
18873,dwe
18881,kkkt _ konde and dwe
18893,dwe
18896,central government
18912,dwe
18932,idara ya maji
18934,tcrs
18943,dwe
19001,jaica
19034,dwe
19050,dwe
19055,dwe
19089,tcrs
19105,dwe
19107,kkkt _ konde and dwe
19116,dwe
19120,sengerema water department
19129,dwe
19139,government
19141,dwe
19147,tcrs
19159,dwe
19203,rundu man
19204,dwe
19216,dwe
19233,dwe
19249,kkkt _ konde and dwe
19279,dwe
19280,dw
19301,tcrs
19313,dwe
19332,kkkt _ konde and dwe
19377,dwe
19394,dwe
19396,kkkt _ konde and dwe
19409,government
19415,dwe
19430,dwe
19443,dwe
19454,dwe
19467,dwe
19470,wananchi
19473,dwe
19474,dwe
19505,tcrs
19524,dwe
19545,dwe
19547,wananchi
19557,dwe
19587,grumeti
19621,rundu man
19637,dwe
19644,dwe
19646,rundu man
19653,tcrs
19674,kkkt
19696,dwe
19702,dwe
19711,kkkt
19750,dwe
19792,dwe
19801,dwe
19817,dwe
19835,dwe
19853,dwe
19891,government
19899,dwe
19906,wizara ya maji
19907,idara ya maji
19908,rundu man
19950,wananchi
19978,kkkt _ konde and dwe
19984,dwe
20008,dwe
20070,kkkt _ konde and dwe
20117,dwe
20135,dwe
20144,rwssp
20161,rundu man
20168,dwe
20185,dwe
20211,dwe
20218,dwe
20256,tcrs
20291,tcrs
20301,kkkt _ konde and dwe
20311,rundu man
20320,rundu man
20367,dwe
20400,government
20402,dwe
20406,government
20409,dwe
20420,tcrs
20422,idara ya maji
20456,dwe
20494,0
20509,dwe
20510,dwe
20517,kkkt _ konde and dwe
20553,kkkt _ konde and dwe
20571,idara ya maji
20574,idara ya maji
20580,tcrs
20620,dwe
20627,dwe
20634,dwe
20637,dmdd
20673,rundu man
20706,dwe
20720,0
20729,dwe
20741,dwe
20743,kkkt _ konde and dwe
20758,dwe
20781,tcrs
20782,dwe
20792,dwe
20793,kkkt _ konde and dwe
20798,idara ya maji
20812,kkkt _ konde and dwe
20829,kkkt _ konde and dwe
20850,dwe
20870,wananchi
20876,dwe
20903,dwe
20912,dwe
20915,dwe
20951,rundu man
20988,idara ya maji
21060,kkkt _ konde and dwe
21080,dwe
21097,dwe
21131,dwe
21157,dwe
21174,idara ya maji
21182,idara ya maji
21195,tcrs
21209,dwe
21226,idara ya maji
21228,dwe
21246,idara ya maji
21280,rundu man
21300,dwe
21309,dwe
21313,dwe
21319,dwe
21325,wizara ya maji
21333,tcrs
21348,tcrs
21361,dwe
21377,dwe
21386,tcrs
21397,dwe
21415,dwe
21423,dwe
21479,tcrs
21492,idara ya maji
21507,dwe
21516,idara ya maji
21537,dwe
21538,dwe
21562,amref
21570,dwe
21571,dwe
21572,tcrs
21582,dwe
21595,kkkt _ konde and dwe
21612,idara ya maji
21637,ir
21683,dwe
21690,dwe
21692,government
21695,dwe
21705,dwe
21734,tcrs
21747,dwe
21748,dwe
21753,dwe
21766,idara ya maji
21833,dwe
21847,rundu man
21864,dwe
21869,kkkt _ konde and dwe
21872,dwe
21882,dwe
21887,dwe
21890,dwe
21896,dwe
21903,sengerema water department
21914,tcrs
21920,dwe
21948,dwe
21959,dwe
21995,dwe
22082,dwe
22085,dwe
22117,tcrs
22129,kkkt _ konde and dwe
22135,dwe
22136,rundu man
22148,dwe
22168,dwe
22186,tcrs
22233,sengerema water department
22258,dwe
22260,dwe
22269,dwe
22270,dwe
22273,building works company ltd
22296,wananchi
22310,kkkt _ konde and dwe
22318,idara ya maji
22322,dwe
22333,wananchi
22351,dwe
22476,dwe
22492,dwe
22519,dwe
22522,dwe
22547,dwe
22551,dwe
22558,idara ya maji
22563,dwe
22592,dwe
22646,rundu man
22652,dwe
22660,dwe
22665,kkkt _ konde and dwe
22672,dwe
22700,dwe
22704,dwe
22721,sengerema water department
22777,dwe
22826,dwe
22855,kkkt
22863,dwe
22874,dwe
22897,dwe
22900,dwe
22902,tcrs
22905,tcrs
22921,kkkt _ konde and dwe
22927,tcrs
22945,dwe
22954,kkkt _ konde and dwe
22961,dwe
22967,dwe
22972,dwe
23047,government
23053,dwe
23056,rundu man
23058,dwe
23061,dwe
23093,dwe
23121,rundu man
23131,rundu man
23132,dwe
23164,dwe
23172,dwe
23183,dwe
23192,wananchi
23207,mission
23217,dwe
23227,mission
23248,government
23267,kkkt
23293,dwe
23295,government
23297,dwe
23300,tcrs
23308,dwe
23320,idara ya maji
23323,kkkt _ konde and dwe
23334,tcrs
23343,dwe
23371,dwe
23376,wedeco
23381,dwe
23396,jandu plumber co
23400,dwe
23401,hesawa
23441,rundu man
23443,kkkt _ konde and dwe
23445,tcrs
23451,dwe
23464,dwe
23474,dwe
23495,government
23510,dwe
23545,kkkt _ konde and dwe
23554,ir
23565,dwe
23580,dwe
23611,kkkt _ konde and dwe
23620,dwe
23626,tcrs
23636,kkkt _ konde and dwe
23652,dwe
23698,dwe
23725,dwe
23749,idara ya maji
23764,kkkt _ konde and dwe
23790,dwe
23844,dwe
23850,dwe
23871,dwe
23873,dwe
23878,dwe
23894,dwe
23912,dwe
23944,runduman
23975,dwe
23984,dwe
24017,dwe
24067,dwe
24077,dwe
24100,dwe
24122,dwe
24153,idara ya maji
24159,dwe
24160,rundu man
24188,dwe
24191,dwe
24194,dwe
24195,dwe
24230,tcrs
24239,dwe
24261,dwe
24265,government
24283,dwe
24289,dwe
24317,wizara ya maji
24320,dwe
24362,kkkt _ konde and dwe
24373,dwe
24383,dwe
24393,idara ya maji
24522,rundu man
24531,government
24540,dwe
24555,dwe
24567,tcrs
24610,dwe
24621,dwe
24663,tcrs
24683,hesawa
24712,idara ya maji
24731,rundu man
24735,dwe
24739,dwe
24741,rundu man
24767,kiliflora
24810,dwe
24817,dwe
24826,central government
24890,kkkt _ konde and dwe
