shulen,shuleni
mwanubila,mwanubi
mwang'honi,mwang'honoli
kifumbu,kifumbo
malinga,malunga
vikuruti,kuruti
izimbya 'b',izimbya 'a'
izimbya,izimbya 'a'
mtakolola,mtokolola
nzije b,nzije a
samuda,busamuda
isigitiro,isigitira
ngembambili c,ngembambili b
ngembambili a,ngembambili b
kiranjeranje b,kiranjeranje a
imi,simi
mpera c,mpera b
manda,msanda
manoshi,manushi
mwatambuga,mwatambuka
pumoni a,pumoni b
makwei,mawei
muri,uri
musunu,murusunu
lemanyata,emanyata
kabwela b,kabwela
kabwela a,kabwela
mkole b,mkole a
bituntu 'a',bituntu
ntebela,tembela
kirundo b,kirundo a
karundo a,kirundo a
kirundo c,kirundo a
kirundo d,kirundo a
luwe,uluwe
kidugara,kiduga
lulembela b,lulembela
lulembela a,lulembela
ilandacho,ilandachi
kanioga a,kanioga b
bukulu b,bukulu a
mlandizi b,mlandizi a
mchimu,machimu
mandega,mandenga
mtewere,mtewele
miluzi,mwiluzi
kashishi mashariki,kashishi magharibi
chihalala,chilala
bea,beda
nyamalango b,nyamalango a
uwanja wa ndege b,uwanja wa ndege a
ariahati,arahati
mwaike,mbwaike
mbuga a,mbuga b
kikungo,kikongo
kanyalakata,kanyala kati
nyamigombelo a,nyamigombelo b
nyakaiga b,nyakaiga a
kasomba,kasoma
mkitwe,kitwe
kibg`ombe,king`ombe
nkoatilya,nkoatila
nkuatila,nkoatila
uwa,uwau
nyanhundi,nyanhundu
nyahnundu,nyanhundu
mfongoni,imongoni
kimongoni,imongoni
kenondo,kenonzo
kihagara kati,kihara kati
simbo 2,simbo 3
simbo 1,simbo 3
kazaroho magharibi,kazaroho mashariki
maseda,masabeda
isengo b,isengo a
mkusii,mkusi
kilanga wageni,kilangawageni
knyabwami,kinyabwami
pachatatu,pacha tatu
moombo,mombo
station b,station a
kidulya,kidula
rusohoko b,rusohoko a
mtapenda a kati,mtapenda b kati
kidudumu,kidudumo
kiwanga,kiwaga
ngepesi,ndepesi
kisanga a',kisanga 'a'
olovolosi,olovolusi
mwang'huni,mwang'honi
bondeni b,bondeni a
mugitu.a.,mogitu.a.
mogitu.b.,mogitu.a.
isakalilo b,isakalilo c
isakalelo c,isakalilo c
isakalilo a,isakalilo c
kisesa b,kisesa a
bukarangi,bukalangi
mianzini b,mianzini a
kigaga b,kigaga a
kiga a,kigaga a
tita,tiita
muhenda a,muhenda c
muhenda,muhenda c
muhenda b,muhenda c
ifantamie,ufantamie
lulenge,lukenge
ighumu,ighuu
kanyinya c,kanyinya
kanyinya d,kanyinya
kanyinya a,kanyinya
kanyinya b,kanyinya
itembwen9,itembweni
utaturu,utaturuni
kiziru,kiziru 'a'
solwa,sola
misasi b,misasi c
misasi a,misasi c
misasi,misasi c
imalamakoye b,imalamakoye c
imalamakoye d,imalamakoye c
shimo,shimbo
shimbo b,shimbo
nawav a,nawa a
ivangwa,kivanga
kiangab,kivanga
mkulu c,mkulu a
mkulu d,mkulu a
mkulu b,mkulu a
mayoka b,mayoka c
mayoka,mayoka c
mwasamba a,mwasamba
msuka b,msuka a
nkui,nkuhi
nkuatilya,nkoatilya
madirana b,madirana a
mapalamba a,mapalamba b
mapalamba,mapalamba b
kijumbula,kijumbura
magoeko a,magoeko
magoeko b,magoeko
magoeke,magoeko
magoeko d,magoeko
losrway,rosrway
mayukia,mayukila
nyitigasto,nyatigasto
momoragoro,momorogoro
mangaula,mikangaula
mikangaule,mikangaula
kisagarani b,kisagarani
bushoma,bushoma a
bushoma b,bushoma a
nyasho a,nyasho b
boga,bwoga
msangeni kati,mengeni kati
manguwa,mangwa
luegu b,luegu a
kzangaze,kizangaze
ihanda 2,ihanda 1
tomasi,thomasi
nyamsoma b,nyamsoma a
kibwigwa,kibwigwa a
kibwigwa b,kibwigwa a
kashelo,kashelo a
igerikilo,igerukilo
igombe a,igombe b
kilovoko,kilovo
kisale a,kisale
salimani,salimwani
kambia,kambiala
kalangakero b,kalangakero a
mambuyu,mamburu
kageye,kagee
murugarama,rugarama
rurama,rugarama
mgera b,mgera a
mgara a,mgera a
bugomba b,bugomba
sanawarii,sanawari
mikocheni b,mikocheni a
ushirika b,ushirika a
kaatoma,katoma
kitaa,kitala
kikomo,kikomero
kikomelo,kikomero
kagomelo,kagomelo a
saayo,tsaayo
tsahayo,tsaayo
tsaayo a,tsaayo
kanyaga b,kanyaga d
kanyaga f,kanyaga d
kanyaga,kanyaga d
kanyaga e,kanyaga d
mkumu,mkuu
makanyo,maganyo
mayavila,mayavile
mwanyumba,mwanyumba a
maida,mnaida
mayungu,mabungu
boma la ng'ombe,bomalang'ombe
no 2,no 12
kavyiru,kavyuru
mwakiliyoma,mwakilihoma
ugawe b,ugawe a
lotima b,lotima a
mpangala a,mpanga a
tawarini b,tawarini a
nyangoso,nyangoto
mwambahs,mwambaha
mtwara a,mtwara b
njomole,njomulole
mkurusi,mkurumusi
mwasenge,mwasonge
mchanatumwage,mchangatumwage
mwanyeye c,mwanyeye
mwanyeye b,mwanyeye
orpuwa,orpuruwa
tokora,toora
udhaya b,udhaya a
ihumbiliza a,ihumbiliza c
ihumbiliza b,ihumbiliza c
mwabuma,mwaguma
zomba a,zomba 'b'
zomba 'a',zomba 'b'
konyiko b,konyiko
mambambara,mabambara
nachindima,nachilindima
karasha,karashi
nyamusanze a,nyamusanza a
utulo a,utulo b
uwemba magharibi,uwemba mashariki
mwalenda,mwabenda
kumsema,kumusema
gomelesa,gombelesa
kwikwazu,kikwazu
mtunyo,mitunyo
lifuma,ifuma
fuma,ifuma
nyakina,nyakagina
kiasoni,kisooni
cheleweni b,cheleweni
cheleweni a,cheleweni
mahorosho,mahorosha
ngoho,ngonho
ikulu a,ikulu b
magegele,magegere
tambukareli magharibi,tambukareli mashariki
bulyasungu,bulyasungwi
mhengelo,mhengele
kimala b,kimala
nardoosoito,nadoosoito
nyetasho,nyasho
warangi a,warangi b
mleni kati b,mleni kati a
mleni kati,mleni kati a
kizinga a,kizinga b
tipri,tipiri
mtwivila b,mtwivila a
kalemawe,kalemane
laghanga,lagang
mtendereji,mtendereje
shibutwe b,shibutwe a
kakonko,kikonko
elerai,lerai
kilai,kilari
bugango a,bugango b
muzenga,mzenga
igudija a,igudija b
igudija c,igudija b
lyakupora,lyakupola
bushoro,bushoko
makereni,makerani
itukisyo,itukisyu
kisundwa,isunda
mkibungele,mukibungere
mlange a,mlange b
izwranguo,izwaranguo
ijuganyondo 'b',ijuganyondo 'a'
kitumba a,kitumba b
mwahande,mwayande
mwamiswa,mwamaswa
kotela mashariki,kotela magharibi
mwasinasi a,mwasinasi b
kisolo,isolo
bulanga,bulangwa
nyahanga,nyanga
nyangano,nyanga
mbede a,mbede b
miisanja,msanja
pondamoyo,kondamoyo
mukigina,kigina
maara,magara
samuda b,samuda a
kalifoniw,kalifonia
mayokeo,matokeo
kwawapare,kwa wapare
mibangani,mibangani b
mibangani a,mibangani b
miangai,milangali
mkerema,mkelema
ibuga a,ibuga c
maseseweni,mseseweni
bubale b,bubale a
sibwesa mashariki,sibwesa magharibi
mighanga,mughanga
mghanga,mughanga
mughunga,mughanga
mgogondele b,mgogondele a
iloganzala,iloganzara
mwamibanga,mwamanga
mwadanga,mwamanga
ndwanga b,ndwanga
ndwangwa,ndwanga
mwamakanza,mwamabanza
bushaza 'a',bushaza 'b'
kazunguti b,kazunguti a
kwamunyu,kwemunyu
vianzi b,vianzi
vianzi a,vianzi
mashara,mashala
kidenda,kidanda
idanda,kidanda
uwenamo,uhenamo
mapilipili b,mapilipili a
kumuyange,muyange
buyange,muyange
mkereketwa,kereketwa
kirueni,kiraeni
butayaibega,butahyaibega
solima a,solima c
solima b,solima c
mwanono,mwankono
isakadero,isakadelo
ikukisyo,itukisyo
kiyaha pachan,kiyaha pachani
kiha pachan,kiyaha pachani
udushi b,budushi
udushi,budushi
budishi,budushi
usimba c,usimba a
usimba d,usimba a
murumba a,murumba
murumba b,murumba
gwasei,ngwasei
ingutoti,ingutot
kisenyi,kasenyi
bigenyi a,bigenyi b
khambi,nkhambi
n'gambeni,ng'ambeni
kimanirumemtemi,kimaniruwemtemi
kimaniruwenteni,kimaniruwemtemi
nholongo,nhgolongo
lamvyia,lamvya
kilamvya,lamvya
usagara a,usagara b
mshika jembe,shika jembe
kiziwa a,kiziwa b
moru,oru
kigunga a,igunga a
mlangalanga a,mlangalanga
mlangalanga b,mlangalanga
mringeni,maringeni
isimikinye,simikinye
simkinye,simikinye
ruyenzi b,ruyenzi c
uluguruni,uruguruni
tindisu,kitindisu
kakande,kakando
lukwambe a,lukwambe b
igalukilo b,igalukilo a
mmanje,nammanje
kibalali,kibalasi
migola,mgola
mwarieni,mrieni
kimang'a b,kimang'a a
mwalolera,mwalolela
ziwani b,ziwani a
ikus b,ikusi b
ikuililo,ikulilo
tongi b,tongi a
endallah,endalah
manyire,manyile
kipera b,kipera a
itala b,itula b
mwasai,mwasayi
mtwake,matwake
kiliwi b,kiliwi a
manyunyy,manyunyu
nyambui,nyambuli
mungushi kati,mungushu kati
itinku,tinku
mlanda b,mlanda a
nyamieli b,nyamieli a
sanjika,isanjika
kibokone,kibokoni
kazinga,kazingu
kilowoko,kilovoko
kangazi stendi,kisanga stendi
mbalwa,embalwa
foini a,foini b
mabuki a,mabuki
mabuki c,mabuki
buhendangabo,bwendangabo
busagara a,busagara b
kataokwa,katahoka
luvai b,luvai a
mkaratusi,mikaratusi
murusi,magurusi
mileshi,mileshe
mgelema a,mgelema b
mgelema,mgelema b
buongera,bongera
omukalyambwa,omukalama
chimale b,chimale a
ureno a,ureno c
marwa,mara
mtunduru,mtunduruni
ibala a,ibala b
ilala b,ibala b
muyaga a,muyaga c
muyaga b,muyaga c
kirehe b,kirehe
kombwewe,mbwewe
sakabayi,sakabahi
nkoni b,nkoni c
nkoni a,nkoni c
kilomeni,kilemeni
kimiza b,kimiza a
mpegele,mbegele
buyando,buyango
lisule 'b',lisule 'a'
kaula,kasula
ngongele b,ngongele a
mwaholo,mwangholo
mwanholo,mwangholo
mwangh olo,mwangholo
mmwindi,mwindi
mihwindi,mwindi
nyatanga a,nyatanga
nyamatanga,nyatanga
nyatanga b,nyatanga
kibundai,kibandai
kimbanda,kibandai
mngugu,mangugu
ngalimila b,ngalimila a
igembesawo,igembesabo
msoghoo,mtoghoo
mukigoti,mkigoti
bulama,bulama a
nachitalala,nachikalala
kamanga b,kamanga a
nyangea,nyaniga
isolola b,isolola a
miugula,mihugula
kilawoi,kilawoyi
kilawoya,kilawoyi
vikogwe,vikonge
lwambara,lwambala
mangalali a,mangalali b
mabama magharibi,mabama mashariki
mwamurugishida,mwamurugushida
baraza b,baraza a
ukuuta,kuuta
mang'ula b,mang'ula a
mbaga a,mbuga a
kiale,kale
lugelele b,lugelele
lugelele a,lugelele
nyanguru a,nyanguru b
nyamoso,nyamono
lubanga b,lubanga
kalovya b,kalovya c
nsanyela,nsanyila
ubata,bubata
kisungule c,kisungule b
kisungule a,kisungule b
kindundai,kidundai
mnyambe,mnambe
gitarungu,kitarungu
ileshera b,ileshera a
kihumuro,kihumro
maseleleko,mseleleko
nyangolongo,nyang'olongo
nyankolongo,nyang'olongo
chihihila,chihila
bunigonzi no2,bunigonzi no 1
bunigonzi no 3,bunigonzi no 1
lwangamanga,wangamaganga
barabarani b,barabarani a
kanywaveza,kanywabeza
mwabuma b,mwabuma
mawawai a,mawawai b
marambe,marambo
mpande,mpande a
mpande b,mpande a
ntebera,ntebela
mwadui lohumbo a,mwadui lohumbo c
iwenamo,uwenamo
italala magharibi,italala mashariki
isowezia,iwezia
iwezi,iwezia
ndelembe b,ndelembe a
getegasembe,getagasembe
matatizo a,matatizo b
kigigida,kidigida
mwabugog'ho,mwabugong'ho
wiligwamabu,iligwamabu
nyahanga a,nyahanga
nyaghanga,nyahanga
nyanghanga,nyahanga
mnini b,mnini a
makokani,makokane
kilimani a,kilimani b
mwabumwandu a,mwabumwandu
mwabumwandu c,mwabumwandu
mtonga a,mtonga b
kasiwe,kasisiwe
kiriwa chini street,kariwa chini street
waranchenza,warenchenza
namkolo,namkopo
ikuluhi,ikului
mwandumo,mwando
mwambuli,mwamhuli
kigondo b,kigondo a
isebya a,isebya
isebya b,isebya
ibambula c,ibambula
ibambula b,ibambula
ghengele,nghengele
lolomotonyi,olmotonyi
lolimotonyi,olmotonyi
kishegeshe b,kishegeshe a
magland,maglandi
manglandi,maglandi
uwungilo,usungilo
ilumbuli,ilulambuli
bumbuta b,bumbuta a
kiga b,kigaga b
lialamu,lyalamu
leleki,lelek
mtanya,matanya
tesheni,tosheni
kanjere b,kanjere a
usupilo,usupilo a
mpilingito,pilingito
manala c,manara c
itekesha a,itekesha b
mkunywa a,mkunywa b
talengo,telengo
pelengo,telengo
kitelengo,telengo
mwasalage,mwashilalage
kitanga mjini,kisanga mjini
kwa mtwelve,kwa mtwelvu
kishimbwe,shimbwe kati
maliyasili,maliyasiri
musui,msui
mwamaguliati,mwamagula
mwamaguha,mwamagula
mwamabula,mwamagula
kumweluro a,kumweluro
mwli,mwili
chodeko,chudeko
igangitakula,gangitakulo
rugaze,rugaze 'b'
rugaze 'a',rugaze 'b'
nanyimbo a,nanyimbo b
kitopeni a,kitopeni b
kihuluko b,kihuluko a
kihuluko c,kihuluko a
kumgaza,kumgazo
machinga,machinda
mkachindwa,machinda
kinyengesi,kinyangesi
msasa b,msasa a
msasani a,msasa a
musasa a,msasa a
kyala chini,wala chini
skimu,uskimu
nkoanasari,nkuanasari
wela mashariki,wela magharibi
nyandwita,nyandwite
igongolo magha,igongolo magh
kambeni,mkameni
kanyomvu,kanyomvi
igalali,igalavi
mkanga chuni,mkanga chini
kyaariya,kyaria
itiyeja,ityeja
daktara b,daktara a
msingeni,msongeni
itumbili a,itumbili b
itumbili c,itumbili b
kishimbwr,kishimbwe
makanda c,makanda a
isaweya,saweya
kidalimanda a,kidalimanda b
kidalinanda b,kidalimanda b
gideshi,gideshani
karongo,karonge
chaung'ng'e,chaung'eng'e
shinyanga a,shinyanga b
mwamalesa,mwamale
mwamalale,mwamale
mwanale,mwamale
mwamile,mwamale
mwamasele,mwamale
nambijili,nambigili
ikumbo,ikubo
mgindoni,ugindoni
omububare,omurubare
mwamasubi,mwanasubi
imalamihayo b,imalamihayo
ng'ongwa,ng'ong'wa
kumshindwi a,kumshindwi b
tongoi,kitongoi
namanzizia,namanziazi
bugashani,bugasha
bavunja a,bavunja b
kumugarika,kumgarika
itongowa b,itongowa a
iturike,itulike
makambalala b,makambalala a
ilungu b,ilungu a
imalamwako,imalamako
kasusura a,kasusura b
kibao katii c,kibao katii a
kwa nyange b,kwa nyange
getaquli mashariki,getaquli magharibi
mlingoti c,mlingoti a
mlingoti b,mlingoti a
mugorogoro,rugorogoro
ibwe,iwe
ruhinga,rulinga
ludende b,ludende a
masalali a,mangalali a
kakola b,kakola a
kilelema a,kilelema c
kilelema b,kilelema c
magarama b,magarama a
madege b,madege a
nyabusula no. 7,nyabusula no. 8
ugema,bugema
tagata,itagata
itagqta,itagata
itagara,itagata
utagata,itagata
minzanza,nzanza
iqelecha,igelecha
msiyovelwa,siyovelwa
mukibira,mkibira
mkibila,mkibira
ascarida,scarida
mwakapalala,mwakapalale
mwakapagalale,mwakapalale
madukani center,madukani /center
nding'ho b,nding'ho a
endajash,endabash
paramba,paramba a
luganda,luganga
munjebwe a,munjebwe b
mwembehaki b,mwembehaki
ibare,kibare
mwangoe,mwangoye
kumyange,kumuyange
sinizya,isinizya
loleza b,loleza
loleza a,loleza
kilala a,kilala b
uvanga,uvangwa
masangara,mapangara
majevu b,majevu a
majevu d,majevu a
urambo magharibi kusini,urambo magharibi kaskazini
kidadaa,kidagaa
mijeledi,mijeleni
mijaleni,mijeleni
utwale,butwale
baukani a,baukani b
ivulul,ivululu
ngwabe,ng'wambe
libongoya,ibongoya
nahoro,nahoro a
nahoro b,nahoro a
upungu mashariki,upungu magharibi
kwemchaku b,kwemchaku
tulieni a,tulieni b
vugizo c,vugizo a
tagamenda b,tagamenda a
gidbash,gidabash
tella,tela
itongo b,kitongo b
mwidongo,mwedongo
usinga kati,usinge kati
usingw kati,usinge kati
mwamjondo,mwamijondo
ugowola a,ugowola b
muzinga b,mzinga b
mwasweha,mwasweya
uchachikile a,uchachikile b
nguru meusi,nguru mausi
burunge a,burunge
ilula magharibi,ilula mashariki
kilimambogo,kilimamoto
burwani,buruwani
chinameli,chinamili
ikoma road b,ikoma road a
kivalali b,kivalali a
mji mpya a,mji mpya b
maring'a kati,maring'akati
mwakata,mwakabata
gidim a,gidim b
chikomo,chikoma
kwamsala,kwemsala
busondo magharibi,busondo mashariki
iseche,iseche a
unyambugha,unyambogha
unyambogho,unyambogha
mzungu b,mzungu a
mwanguhi,mwagushi
kigunga b,kigunga c
bugelenga centre,bulega centre
nselya,selya
nyamiobo,nyamiobu
serian,seriani
shimama,shimamu
blenda b,brenda b
brenda,brenda b
brebda b,brenda b
brenda a,brenda b
ntakasangwa,takasangwa
kinyambuli,kinyamburi
kitunga c,kitunga
tela kati,tella kati
bupuli,bupulani
bukumbulwa,lbukumbulwa
kukulumba,kikulumba
naminga,namitonga
mwamambiti,mwamabiti
matare b,matare a
nyamiselis,nyamiselia
garilaya,galilaya
gamiusi,gamihusi
mafyeko c,mafyeko a
rushambya,rusabya
sanya line a,sanya line b
kilambo a,kilambo b
nsaguzi b,nsaguzi a
isambula a,isambula b
kihimika b,kihimika a
kinamapula c,kinamapula a
kinamapula b,kinamapula a
mwamalangwa,mwahalanga
kinango,kinango b
hargushay,hargusha
mtalikwa,ntalikwa
njia panda b,njia panda a
mkongoloni b,kongoloi b
rabuor,rabuor a
rabuor b,rabuor a
wukiro 'a',wukiro 'b'
kwa mlaki b,kwa mlaki a
nkongore,nkongole
itubilo,idubilo
mafuriko c,msfuriko c
nyakunchi,nyankunchi b
nyankunchi c,nyankunchi b
chamhela,chamela
chamwela,chamela
chamela b,chamela
chanela,chamela
mjele b,mjele a
luhala b,luhala a
usagalwa,sagalwa
maingo b,maingo a
meresini a,meresini b
mkigama,mukigama
miserani,meserani
nhanga a,nyahanga a
mpakani a,mpakani b
bubungu a,bubungu b
bubungu,bubungu b
lupango,lupanga
isongwa kati,isenga kati
almaroroi,olmaroroi
kilombero b,kilombero a
datlaa,atlaa
namanga a,namanga b
mwanhala b,mwanhala a
mutoju,mtoju
kwateri,kwateri b
mtamba b,mtamba a
buyumba,bujumba
bujumbi,bujumba
nambunje,nambanje
marimba,masimba
muori,muri
nyasore,nyasole
ningojeni,ngojeni
burungu,bukungu
hongwa b,hongwa a
hongwa,hongwa a
kitahie,kitahiye
kitirima,kirima
misisiri,misigiri
katukanyenza,katukanyenze
ccm/kati,ccm kati
ntaba,ntamba
masua,masuha
manyasi,kanyasi
sangha,isangha
kasakaa b,kasaka b
ng`washi,ng'washi
mambegwa b,mambegwa a
kindagiri,kindagili
kindagili 2,kindagili
bomamzinga a,bomamzinga b
mighunga,mighanga
minghanga,mighanga
galula a,galula b
galula c,galula b
mngonya,mungonya
mbalaji,mbaraji
kipanga kati,kisanga kati
nzaza a,nzaza b
mbarala,mbarala b
kabilizi a,kabilizi b
masongwa,kasongwa
minjale,minjaleni
mwangalangs,mwangalanga
izigo,kizigo
kwesimu,kweshiu
nghanje,nghonje
mavota b,mavota
nyakanyasi b,nyakanyasi a
mwasepa,maswepa
unyinga,mnyinga
kamakana,kamukana
kurutale,karutale
chikaluli,chikaluri
kinyakasanda,nyakasanda kati
bulugala,bulugala b
bulugala a,bulugala b
karundo,karundo b
utulivu 1,utulivu 2
mwamahululu b,mwamahululu
kwasayenge,kwisayenge
kwisenge,kwisayenge
nyambuliko,nyabuliko
manyoni kati a,manyoni kati b
manyoni kati,manyoni kati b
kumkwabule,kumkwabure
chipapa a,chipapa b
chipapa c,chipapa b
omukitojo,omukatojo
mkombola,mkombo
isemikinye,isimikinye
isimikinyi,isimikinye
mkunguni b,mkunguni a
lutangali,butangali
silamila a,silamila b
silamila c,silamila b
isangati b,isanga b
isanga a,isanga b
luwiko,luwiko 'b'
mambu,msambu
shanshamuzi,kishanshamuzi
katembe b,katembe
katembi,katembe
katebe,katembe
katembe a,katembe
luluma,lulumba
chikunja b,chikunja a
mnandeyeni a,mnandeyeni
milonga,mikonga
kukerege,kukagerege
isenzanya kati,isenzenya kati
nyarushanja,nyarushanje
narubura b,narubura a
uyelivala,uyelevala
naidikodiko,naidikidiko
kililiga a,kililiga b
mtapenda c,mtapenda a
mtapenda b,mtapenda a
makome b,makome a
njewanga,njawanga
rukaragata,lukaragata
imelemela,imelamela
makunghuu,mkunguu
kyou,kyonu
madundani,mdundani
mubisumizi,mbisumizi
lukanga a,lukanga b
kibeyo b,kibeyo a
mwaghompi,mwaghumpi
mwasingi,mwashigi
nanana,nanyanga
nantanga,nanyanga
nkondogwa,kondogwa
mirikani,birikani
igalatilo,igalatiro
galatiro,igalatiro
wisange,isange
msaghaa b,msaghaa
msaghaa a,msaghaa
mwakaduba,mwakaluba
nywandwita,nyandwita
manawa,manyawa
mangahai,mwanghai
ifumba b,ifumba a
mwamunhu a,mwamunhu b
mahaheni,mahaeni
mgombola,mkombola
kumnyika,mnyika
uhuru a,uhuru b
ilangale b,ilangale a
misimii,msimihi
ng'homi,ng'homa
ng'hona,ng'homa
nyabwai b,nyabwai a
mgomol,mgomole
nyulunyulu a,nyulunyulu b
muluherere,muruherere
munuherere,muruherere
muherere,muruherere
kitungu a,kitungu b
nyawishi a,nyawishi b
kisang'ang'a,sang'ang'a
makanka,makanya
samaria c,samaria b
samaria d,samaria b
kikonko b,kikonko a
kizerui,kizelui
pilimba 'a',chipilimba 'a'
chilimba 'a',chipilimba 'a'
lunduka,lundukali
ndukali,lundukali
mwagi a,mwagi b
luvalane,luvalande
ihanzu b,ihanzu a
misufuni juu,misufini juu
london a,londoni a
nambeni,manambeni
mwanambeni,manambeni
ungindoni salannga,ungindoni salanga
mwamanala,mwamahala
iringo,mwiringo
i/saka,i/sakaa
nyabwegira b,nyabwegira a
mnangana,minangana
nyambubi a,nyambubi b
nyambubi,nyambubi b
makorongo b,makorongo a
makorongo,makorongo a
ikreepus,irkeepus
mwamabulo,mwamabuli
mwakimishi,mwakimisha
kinyang'a,kinyan'ga
chiwanda,chiwanda a
ilalwe b,ilalwe
gilamtwe c,gilamtwe a
bitale a,bitale b
kitale b,bitale b
atsin,atsini
tsini,atsini
mwanangwa,mwanangwa b
ngokolo b,ngokolo
ngokolo c,ngokolo
nyakafuru c,nyakafuru b
merehasi,melehasi
mwandalya,mwandelya
mrukukumbo chini,murukukumbo chini
kangeme no. 5,kangeme no. 3
kangeme no. 4,kangeme no. 3
bulwani,burwani
ngobob,ngorbob
chigatule,chigazule
mabwira,magwira
krutale,kurutale
minele,inele
kwa mng'oi,kwang'oi
kwa ng'oi,kwang'oi
olorieni kat,olorieni kati
bugando b,bugando a
isigotiro,isigitiro
isigatiro,isigitiro
gidagamowdi,gidagawdi
muru,muaru
tanganyika a,tanganyika b
talamagangs,talamaganga
mbigiri kati,mbigili kati
busia,usia
nachaomba,nachiamba
chakitalagu a,chakitalagu b
chakitalagu,chakitalagu b
nkulusi,kulusi
shaminghwa b,shaminghwa
mumakeke b,mumakeke
fella b,fella a
kemagaka,kebagaka
ishingisha,ishingisha a
ishingiasha b,ishingisha a
engaresero,engarasero
kudiboya,kudibona
itengelu kati,itengelo kati
fumagila magharib,fumagila masharik
omukiyonza,mukiyonza
usinga jati,usinga kati
kaskazini b,kaskazini a
kasonkole,kasongole
kweisasa,kweisaka
bunigonzi n4,bunigonzi no2
mwajalala,mwajilala
kyanyabyoma,kanyabyoma
blockfarm,brockfarm
mswaki,miswaki
songambele magharibi,songambele mashariki
